id,orderId,suborderFilter,commonName,alternateCommonName,scientificName,lifeStageName,lifeStagePrettyName,description,expandedCharacterList,hasAudio,hasImage
302,14,Case-making Caddisflies,Humpless Casemaker Caddisflies,"Apple Caddis, Grannoms",Brachycentridae,larva,Larva,"Humpless casemaker caddisfly <u>larvae</u> are characterized by a 'humpless' first abdominal segment. The portable case is made from strips of organic material which is typically rounded and tube-like; several genera build square, four-sided cases. The ""humpless"" caddisfly lives where the currents are consistently swift, and are often found anchored to rocks at the heads of <u>riffles</u>.",The larva lives in a case that is square or round in cross-section and usually made of plant pieces that are mostly transversely oriented; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the dorsal and pair of lateral spacing humps (usually present on the first abdominal segment of case-making caddisflies) are absent; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.,1,1
305,14,Case-making Caddisflies,Comb-lipped Casemaker Caddisflies,,Calamoceratidae,larva,Larva,The larva lives in a case that is composed of two flat pieces of dead leaves or in a piece of wood or a stick in which it has gouged its living space; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the top of the labrum (upper lip) has a transverse row of about 16 setae; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.,The larva lives in a case that is composed of two flat pieces of dead leaves or in a piece of wood or a stick in which it has gouged its living space; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the top of the labrum (upper lip) has a transverse row of about 16 setae; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.,1,0
306,14,Net-spinning Caddisflies,Pitot-tube Caddisflies,,Dipseudopsidae,larva,Larva,"<em>Phylocentropus</em> is the only genus in the family Dipseudopsidae in North America. <u>Larvae</u> <u>burrow</u> in sand or soft sediment and stabilize the walls of their burrow by shoring them with silk extruded from a long, movable <u>spinneret</u>. The tips of the branching burrow protrude above the sediment, looking like little sticks. A side branch of the retreat is enlarged and contains a silken net used to <u>filter</u> tiny bits of organic matter for food. They tend to live in pools or along the edges of slow-moving water. They are found throughout the eastern and central United States. Characters unique to this group include a large hump between membranous <u>meso</u>- and <u>metanota</u>, the especially long <u>spinneret</u>, and flattened <u>tarsi</u> longer than the <u>tibiae</u>.","<strong>Large <u>spinneret</u>, half as long as head</strong>. <u>Labrum</u> <u>sclerotized</u>, never withdrawn or T-shaped. Antennae tiny and inconspicuous. <u>Pronotum</u> without anterolateral lobes. <strong><u>Meso-</u> and <u>metanota</u> membranous with large hump between them</strong>. <strong><u>Tarsi</u> flattened and longer than <u>tibiae</u>.</strong> Abdominal <u>tergum</u> IX without <u>sclerite</u>. <u>Larvae</u> <strong>living in branching tube-like retreats</strong> buried in sand or soft sediment, except tips of branches sticking above sediment.",1,0
308,14,Case-making Caddisflies,Saddle Casemaker Caddisflies,,Glossosomatidae,larva,Larva,"Members of the family Glossosomatidae are often known as Saddle-case Makers. The cases are unique from those of other caddisflies in that they are domed like a turtle shell with a <u>transverse</u> strap of finer stones across the bottom, leaving the underside open on both ends. They tend to prefer rocky bottomed riffles. <u>Larvae</u> gather small rocks from the bottom of the stream and glue them together with silk from their mouths to form their cases. During feeding, a <u>larva</u> attaches a strand of silk to a large rock and to the upstream end of the case as a tether. The openings of the underside of the case are interchangeable so that the <u>larva</u> then turns around in the case to point its head through the downstream opening. It then slowly swings upstream on the top of the rock, pivoting on its tethered thread, <u>scraping</u> and eating the algae and biofilm from the rock as it moves. Once the untethered end faces directly upstream, it anchors that end with silk, reverses itself within its case, cuts the thread from the original tether (which is now downstream), and repeats the swiveling and feeding process from the now-freed end of its case, progressing into the current by alternating the two ends of the case like a pair of mountain climbers ascending a rock face.","The larva lives in a case that is made of small stones and shaped like a tortoise shell; the top of the first thoracic segment is covered by sclerites, but the tops of the other two thoracic segments may or may not have a few small and usually inconspicuous sclerites; there is a sclerite on the top of the 9th abdominal segment; the anal prolegs are partly fused with the end of the abdomen.",1,1
310,14,Case-making Caddisflies,Weighted Casemaker Caddisflies,,Goeridae,larva,Larva,"The larva lives in a case that is made of small stones, usually with pairs of larger stones on the sides; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the sclerotized sides of the middle thoracic segment project anteriorly beside the sclerotized first thoracic segment; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.","The larva lives in a case that is made of small stones, usually with pairs of larger stones on the sides; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the sclerotized sides of the middle thoracic segment project anteriorly beside the sclerotized first thoracic segment; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.",1,0
312,14,Case-making Caddisflies,Snail Casemaker Caddisflies,,Helicopsychidae,larva,Larva,"The larva lives in a case made of fine sand and coiled in the shape of a snail shell; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the anal claws are comb-like, with many ventral teeth.","The larva lives in a case made of fine sand and coiled in the shape of a snail shell; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the anal claws are comb-like, with many ventral teeth.",1,0
18,14,Net-spinning Caddisflies,"Net-spinning Caddisflies, Common Netspinners, Seine-net Weavers",,Hydropsychidae,larva,Larva,"There are 47 genera in the family globally, with about 13 found in the US, including more than 155 species. <u>Larvae</u> build stationary retreats of silk, detritus and rock fragments. A part of the entrance of a retreat has a silken filter net protruding into the current to strain food from the water. This is how they earned the common name, “net spinners”. The mesh size of the filter net varies among hydropsychid species, corresponding with the current speed of their optimal habitat and the size of the food particles on which they specialize. They spend most of their life hiding in their retreats, waiting for food to get caught in their nets, mostly tiny bits of organic debris, but occasionally small animals; they sometimes also <u>scrape</u> algae from the surfaces of the rocks or other substrates to which their retreats are attached. Members of this family are often thought to be tolerant of pollution, but this is a misconception as tolerance varies greatly among the different species.","<strong><u>Pro-</u>, <u>meso-</u>, and <u>metanota</u> entirely covered by <u>sclerites</u>. <u>Ventral</u> side of abdomen with rows of branched gills. Conspicuous tuft or fan of long hairs on each <u>anal proleg</u>. </strong>Anal claw with stout <u>apical</u> hook. <u>Larvae</u> building stationary retreats of silk, detritus, and rock fragments and add a silken net for filter feeding.",1,0
314,14,Case-making Caddisflies,"Microcaddisflies, Purse Casemakers",,Hydroptilidae,larva,Larva,"The larva is very small (less than ¼ inch) and lives in a case, usually flat, made of silk or sand or filamentous algae; the tops of all three thoracic segments are covered by sclerites; there are no gills on the ventral side of the abdomen; usually the anal prolegs are mostly fused with the end of the abdomen except their apical hooks.","The larva is very small (less than ¼ inch) and lives in a case, usually flat, made of silk or sand or filamentous algae; the tops of all three thoracic segments are covered by sclerites; there are no gills on the ventral side of the abdomen; usually the anal prolegs are mostly fused with the end of the abdomen except their apical hooks.",1,0
316,14,Case-making Caddisflies,"Bizarre, Scaly-mouth caddisflies",Little Brown Sedges,Lepidostomatidae,larva,Larva,"Over 60 North American species from two genera are recognized in this family. Members of this group are most commonly found in mountainous regions in small streams or along the edges of lakes and large rivers. They are <u>shredding detritivores</u>, feeding on decaying plant matter in the water; they also have been reported scavenging salmon carcasses. The <u>larvae</u> construct cases of varying materials and shapes, however, a four-sided case constructed of square pieces of leaves is most commonly found. This family is easily identifiable, as these are the only caddisflies with the small antennae situated directly next to the eyes.","<u>Labrum</u> usually with only 6 <u>setae</u> arranged <u>transversely</u> across central area. <strong>Antennae small, always situated directly next to eyes</strong>. <u>Pronotum</u> and <u>mesonotum</u> <u>sclerotized</u>. <u>Pronotum</u> sometimes with distinct lobes at anterior corners. <u>Metanotum</u> mostly membranous; pair of anteromesal (<u>sa1</u>) <u>sclerites</u> <u>dorsally</u> with several <u>setae</u>, but each always with at least 1 <u>seta</u>. <u>Lateral</u> humps always present on abdominal segment I, but not always conspicuous. <strong><u>Median</u> <u>dorsal</u> hump absent from abdominal segment I.</strong> <u>Larval</u> cases varying in architecture and materials. ",1,0
318,14,Case-making Caddisflies,Long-horned Caddisflies,,Leptoceridae,larva,Larva,"This is the only group of caddisflies with “long” antennae. In <u>larvae</u>, the antennae are “6 times as long as wide”, meaning they are small, thread-like antennae, as compared to most <u>larval</u> caddisfly antennae which are barely visible as small nubs. As adults, the antennae are extremely long, much longer than the animal, especially in males. This is also one of the few families with bright colors on the wings, thought to be mainly day fliers. These traits may be due to sexual selection, much like a male peacock with his showy feathers. The <u>larvae</u> are relatively small when mature, only ranging 7–15 mm. Representatives of this family can be found in any still or flowing water habitats, and create widely varying cases of plant or mineral materials or even pure silk, have varying habits (<u>climbers</u>, <u>sprawlers</u>, <u>clingers</u>, <u>swimmers</u>), and eat nearly every type of food, all of which are more particular at the genus and species levels of taxonomic refinement.","<strong>Antennae usually long for caddisflies, at least 6 times as long as thick</strong>. <u>Mesonotum</u> light in color, <strong>except sometimes with pair of dark curved lines; these lines present in species with short antennae</strong>. <u>Metanotum</u> membranous. <u>Larvae</u> constructing portable tube-shaped cases of various materials and shapes.",1,0
33,14,Case-making Caddisflies,Northern Casemaker Caddisflies,,Limnephilidae,larva,Larva,"This is one of the more diverse familes in northern latitudes, including 252 species in 41 genera in North America. Only a few species of this group live in the Midwest and South, which is why they are often called ""Northern Caddisflies."" They can be found in a variety of <u>lotic</u> and <u>lentic</u> habitats and have varying habits which become more specific at the genus and species levels of taxonomic refinement. Most are <u>shredding</u> or <u>scraping</u> herbivores or <u>detritivores</u>. This group is well known for their diversity in cases materials and architecture, which at the genus or species level can often be used to aid in identification.","As in all families of superfamily Limnephiloidea, short, inconspicuous <strong>antennae are each located about midway between base of mandible and eye</strong>. <u>Prosternal</u> horn usually present. Chloride epithelia usually present on at least some abdominal segments. <strong>Otherwise distinguished from other Limnephiloidea families as follows</strong>: Mandibles usually toothed and <u>setae</u> usually absent between anterodorsal (<u>sa1</u>) <u>sclerites</u> or, if present then fewer than 25 <u>setae</u> (unlike Apataniidae). <u>Mesonotum</u> not notched along anterior margin (unlike Thremmatidae). <u>Mesopleura</u> not expanded as in Goeridae. <u>Larvae</u> usually large when mature and building tubular cases of varying materials, usually rocks or rough plant materials. Mature <u>larvae</u> 6–30 mm.",1,0
323,14,Case-making Caddisflies,Hooded Casemaker Caddisflies,,Molannidae,larva,Larva,"The larva lives in a flat case made of fine sand that covers the head in dorsal view; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the tarsal claws of the hind legs are very short and stubby, unlike the claws of the other legs; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.","The larva lives in a flat case made of fine sand that covers the head in dorsal view; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has only a few small sclerites; the tarsal claws of the hind legs are very short and stubby, unlike the claws of the other legs; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.",1,0
325,14,Case-making Caddisflies,Mortarjoint Casemaker Caddisflies,,Odontoceridae,larva,Larva,"The larva lives in a stout cylindrical case, slightly curved and made of small stones; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment usually has two transverse sclerotized straps or two pairs of large sclerites; there is no prothoracic horn (stiff needle between the front legs); the posterior end of the body is not unusually hairy; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.","The larva lives in a stout cylindrical case, slightly curved and made of small stones; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment usually has two transverse sclerotized straps or two pairs of large sclerites; there is no prothoracic horn (stiff needle between the front legs); the posterior end of the body is not unusually hairy; anal prolegs are mostly fused with the end of the abdomen except their apical hooks.",1,0
327,14,Net-spinning Caddisflies,Finger-net Caddisflies,,Philopotamidae,larva,Larva,"This family includes 1,484 species globally and 76 species in North America. Their preferred habitat is <u>riffles</u>, where their nets can be found on the undersides of rocks. The <u>larvae</u> spin wind-sock like nets with ultrafine mesh that are held open by the current, which they use to filter feed on very small bits of detritus, algae, and even small animals. These nets are positioned beneath the rocks and have the smallest mesh size known of all the net-spinning caddisflies. When removed from water, the nets collapse and look like brown slime. This group is unique in that it is the only group with a membranous <u>labrum</u> that is expanded along the <u>distal</u> edge, giving it a T-shape. However, sometimes when placed in ethanol or other preservatives, this soft <u>labrum</u> gets sucked into the mouth where it cannot be seen. The most common species, <em>Dolophilodes distinctus</em>, can emerge as adults year-round; however, females that emerge during the winter have very short stubby wings and are flightless.","<strong><u>Labrum</u> membranous and T-shaped</strong>, in preserved specimens often sucked into mouth and hidden from view. Antennae small, nub-like, and inconspicuous. <u>Pronotum</u> <u>sclerotized</u>, but without anterolateral lobes. <u>Meso-</u> and <u>metanota</u> membranous. Abdominal <u>tergum</u> 9 entirely membranous. <u>Larvae</u> spinning stationary sac-shaped silken nets for filter feeding on undersides of rocks.",1,1
330,14,Case-making Caddisflies,Giant Casemaker Caddisflies,,Phryganeidae,larva,Larva,The larva lives in a case made of dead leaves with the pieces arranged as rings or in a spiral; the top of the first thoracic segment is covered by sclerites; the tops of the second and third thoracic segments are membranous or may have a pair of smaller sclerites on the top of the second segment; there is a prothoracic horn (stiff needle) between the front legs; there is a sclerite on the top of the 9th abdominal segment; anal prolegs are partly fused with the end of the abdomen.,The larva lives in a case made of dead leaves with the pieces arranged as rings or in a spiral; the top of the first thoracic segment is covered by sclerites; the tops of the second and third thoracic segments are membranous or may have a pair of smaller sclerites on the top of the second segment; there is a prothoracic horn (stiff needle) between the front legs; there is a sclerite on the top of the 9th abdominal segment; anal prolegs are partly fused with the end of the abdomen.,1,0
332,14,Net-spinning Caddisflies,"Trumpet-net, Tube Maker Caddisflies",,Polycentropodidae,larva,Larva,"The larva lives in a silken net that is funnel-shaped, tubular, flattened, or like a spider web; the top of the first thoracic segment is covered by sclerites, but the tops of the second and third thoracic segments are membranous; at the front of the base of each front leg is a foretrochantin that is pointed apically (not hatchet-shaped); the tarsi of all legs are more or less cylindrical, not flattened; tibiae are at least as long as the tarsi; anal prolegs are long and freely moveable.","The larva lives in a silken net that is funnel-shaped, tubular, flattened, or like a spider web; the top of the first thoracic segment is covered by sclerites, but the tops of the second and third thoracic segments are membranous; at the front of the base of each front leg is a foretrochantin that is pointed apically (not hatchet-shaped); the tarsi of all legs are more or less cylindrical, not flattened; tibiae are at least as long as the tarsi; anal prolegs are long and freely moveable.",1,0
335,14,Net-spinning Caddisflies,Net-tube Caddisflies,,Psychomyiidae,larva,Larva,"This family includes 5 North American genera with 17 species. The <u>larvae</u> often build tubular retreats, the tops of the structures are camouflaged with silk and pieces of detritus and pieces of substrate. They use the retreat to collect and gather food. As they add to the length of the tube to extend their grazing space, they occasionally harvest the old portion where they have cultivated <u>periphyton</u>. The <u>larvae</u> can be distinguished from other similar looking groups (such as the Philopotamidae) because the Psycomyiidae are the only caddisfly larvae with the <u>foretrochantins</u> (pair of hard projections between fore<u>coxae</u> and head) hatchet-shaped.","Antennae small, nub-like, and inconspicuous.<strong> <u>Foretrochantin</u> broad and hatched-shaped. </strong><u>Meso-</u> and <u>metanota</u> membranous. Abdominal <u>tergum</u> IX membranous. <u>Larvae</u> creating stationary retreats composed of sand and detritus, usually built on rocks or large woody debris.",1,0
338,14,Free-living Caddisflies,"Free-living, Green Caddisflies",Green Sedges,Rhyacophilidae,larva,Larva,"The <u>larvae</u> of Rhyacophilidae exhibit a variety of feeding strategies as young instars, feeding as <u>collector-gatherers</u>, <u>scraper-grazers</u>, or <u>shredder-herbivores</u>, but mature <u>larvae</u> are mainly free-ranging, <u>engulfing predators</u>. <u>Larvae</u> are free-living, meaning that they do not live in a case or retreat, but simply move throughout the environment, <u>clinging</u> to the substrate and chasing prey. Before pupation, a rock shelter is built and a semipermeable cocoon is spun inside. <u>Larvae</u> are often green in color, and often have well-defined segments, giving the body a beaded appearance. ","Antenna small and inconspicuous. <u>Pronotum</u> without lobes in anterior corners.<strong> <u>Meso-</u> and <u>metanota</u> membranous. </strong><u>Metanotum</u> with <u>lateral</u> setal areas (<u>sa3</u>) each with only a single <u>seta</u>, with or without a <u>sclerite</u>. <strong>Abdominal <u>tergum</u> IX with a <u>sclerite</u>,</strong> sometimes inconspicuous or retracted under intersegmental fold of abdominal <u>tergum</u> VIII. <strong><u>Anal prolegs</u> free,</strong> not closely fused to segment IX. Anal claw without <u>dorsal</u> <u>accessory</u> hook; however, sometimes with a secondary <u>lateral</u> claw and sometimes with <u>ventral</u> teeth.<strong> <u>Larvae</u> are free-living until pupation.</strong>",1,0
340,14,Case-making Caddisflies,Bush-tailed Caddisflies,,Sericostomatidae,larva,Larva,"The larva lives in a cylindrical case, slightly curved and made of fine sand; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has a few small sclerites; there is no prothoracic horn (stiff needle between the front legs); the posterior end of the body is unusually hairy (at least 60 setae); anal prolegs are mostly fused with the end of the abdomen except their apical hooks.","The larva lives in a cylindrical case, slightly curved and made of fine sand; the tops of the first two thoracic segments are covered by sclerites; the top of the third thoracic segment has a few small sclerites; there is no prothoracic horn (stiff needle between the front legs); the posterior end of the body is unusually hairy (at least 60 setae); anal prolegs are mostly fused with the end of the abdomen except their apical hooks.",1,0
342,14,Case-making Caddisflies,Little Northeastern Casemakers,,Thremmatidae,larva,Larva,"Previously Uenodiae, the family was split into two families Thremmatidae and Uenoidae, with uenoids all western. Of the North American Thremmatidae, there are only two genera, <em>Neophylax </em>(widespread except for in the Southwest) and <em>Oligophlebodes </em>(Western and Northcentral States). The <u>larvae</u> create robust rock cases; eastern species add large <u>lateral</u> ballast stones, similar to cases of Goeridae. Eastern species typically feed by <u>scraping</u> <u>periphyton</u> from rocks. They prefer <u>lotic-erosional</u> habitats and tend to be found clinging to rocks and other substrates. The adults tend to emerge in the fall, and their yellow and brown colors often help them to blend with the autumn foliage.","Antennae small, nub-like, and inconspicuous, positioned approximately equidistant between anterior margin of head and eyes.<strong> <u>Pro-</u> and <u>mesonota</u> <u>sclerotized</u>, but <u>metanotum</u> mostly membranous, with some small <u>sclerites</u>.</strong> <u>Pronotum</u> broadest at middle when viewed <u>dorsally</u>. <u>Prosternal</u> horn usually present, sometimes short. <strong><u>Mesonotum</u> with double notch <u>medially</u> along anterior margin</strong>. <u>Metanotal</u> anteromesal setal areas (<u>sa1</u>) each usually with tiny <u>sclerite</u> and 1 or 2 <u>setae</u>. First abdominal segment always with <u>lateral</u> humps and <u>median</u> <u>dorsal</u> hump. At least some abdominal segments with chloride epithelia (each evident as oval area surrounded by very fine dark line). <u>Larvae</u> building stout cases from pieces of rock, usually with small ballast stones arranged along sides. ",1,1
195,20,,Comb-mouthed Minnow Mayflies,Brown Duns,Ameletidae,larva,Larva,"<em>Ameletus </em>was previously included among genera of the Siphlonuridae, but is now the only genus in the family Ameletidae. There are 34 known species in North America, most from west of the Rocky Mountains. <u>Larvae</u> are <u>fusiform</u> or streamlined in body shape, making them strong swimmers and <u>clingers</u>. They are <u>collector-gatherers</u> or <u>scraper-grazers</u>, feeding on fine detritus and diatoms. They tend to be found in cold, fast-flowing mountain streams, especially along edges, undercut banks, and in root masses. The family can often be confused with Isonychiidae or Baetidae, but can be distinguished by its <u>maxillae</u>, each with a row of golden pectinate spines.","Body not flat. <u>Labrum</u> without notched <u>distal</u> margin and <strong><u>maxillae</u> each with row of golden pectinate spines</strong>. Tusks absent. Antennae shorter than twice width of head. <u>Thoracic</u> <u>notum</u> not turtle-shell-shaped. Abdominal <u>terga</u> usually without paired <u>tubercles</u>. Abdominal segment 2 with gills similar to those on other segments but NOT <u>operculate</u>/semioperculate; with single <u>lamellae</u> more or less oval and with <u>sclerotized</u> band along <u>lateral</u> margin and usually with a similar <u>sclerotized</u> band on or near mesal margin; gills usually not fringed; never ending in filaments or points. <u>Forelegs</u> without long hairs. <u>Tibiae</u> and <u>tarsi</u> not bowed; claws usually not long and slender. Claws of all legs similar, usually sharply pointed, variable in length. Three tails of about equal length.",1,0
