taxaObjectId,name,description
162,Thoracic And Anal Prolegs,"Paired hook-bearing prolegs (fleshy nubs used for movement) are present on the prothorax and at the posterior end of the body. At first glance these may appear as a single proleg, but they are paired, the division may be slight and only at the apex of the proleg."
168,Fused Thoracic Segments,"Thoracic segments fused, nearly indistinguishable, wider than head and abdomen."
168,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
168,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
168,Slender Antennae with Short Setae,Antennae slender with short setae.
170,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen."
170,Flat Lobes Fringed with Hair on Last Segment,Last abdominal segment with pair of flat lobes fringed with hair.
170,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
170,Hook-bearing Prolegs on 1-2,First and (usually) second abdominal segments each with pair of hook-bearing prolegs.
170,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
172,1-4 Rounded Lobes on End of Abdomen,End of abdomen with 1–4 rounded lobes with apical setae.
172,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.
172,Head Capsule Not Sclerotized and Exposed,"Head capsule exposed, mostly not sclerotized, reduced to slender rods that are prominent internally."
172,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
172,Spiracles Absent,Spiracles usually absent.
174,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.
174,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. "
174,Respiratory Tube,
175,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. "
175,Posterior Spiracles with Lobes,The posterior spiracles are rimmed by 2–7 (usually 5) lobes often fringed with hair.
178,Head Not Externally Sclerotized,Head capsule not sclerotized externally.
178,"Last Segment Blunt, Smooth","Last abdominal segment blunt, smooth."
178,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
178,Posterior Spiracles each with 3 Slits,Pair of posterior spiracles each with 3 sinuous slits.
180,Head Capsule Sclerotized and Mostly Retracted,Head capsule sclerotized and mostly retracted in membranous body.
180,Long Ventral Lobes on Abdominal Apex,End of abdomen with pair of spiracles and pair of long ventral lobes.
180,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
182,Body Segments Subdivided,All body segments secondarily divided into 2–3 subdivisions most of which bear dorsal sclerotized plates.
182,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen."
182,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
182,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
184,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
184,Hooked Prolegs on 1-3,"First 3 abdominal segments each with ventral pair of prolegs, each with single apical hook."
184,Long Respiratory Siphon,End of abdomen with long retractile respiratory siphon.
184,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
186,Abdomen Swollen Posteriorly,"Abdominal segments 5–8 are swollen, appearing ballooned or bowling-pin-like. Often these balooned posterior ends are attached to the substrate. "
186,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
186,Labral Fans,Head capsule usually with pair of conspicuous fans.
189,Body Flattened,Body somewhat depressed.
189,Head Capsule Sclerotized and Mostly Exposed,"Head capsule sclerotized and mostly exposed, incapable of independent movement."
189,Leathery Integument,"Integument tough, leathery, with calcium deposits evident as small facets."
189,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.
191,Head Not Externally Sclerotized,Head capsule not sclerotized externally.
191,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
191,Posterior Spiracles Fused,"Posterior spiracles fused or abutting, usually on apex of retractile respiratory tube."
193,Head Capsule Sclerotized and Mostly Retracted,"Head capsule sclerotized and mostly retracted in membranous body, usually with longitudinal incisions posteriorly or reduced to long rods."
193,Lobed Posterior Spiracles with Hair,Posterior pair of spiracles bordered by at least 6 lobes fringed with hair.
193,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
195,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.
195,Pectinate Spines On Maxillae, Maxillae (second pair of jaws) each with row of conspicuous pectinate (comb-like) spines. 
195,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. "
197,Long Antenna,"The antennae are usually long, two or three times or more width of the head"
197,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.
202,Shield-like Pronotum,Pronotum forming large shield over rest of thorax and 5 basal segments of abdomen.
204,Square Semioperculate Gills,"Paired gills on abdominal segment 2 are nearly square, and meeting or almost meeting medially (but NOT fused). These gills on segment 2 are at least partially covering the succeeding pairs (semioperculate)."
206,Segment 2 Without Gills,This is the only mayfly family with gills absent on abdominal segment 2.
212,Fluffy Abdominal Gills," Abdominal gills on segments 2–7 are conspicuous dorsaly, forked and elongate-lancolate, with fringed margins, giving the animal a fluffy appearance."
212,Fossorial Foretibiae ,"The Foretibiae (the shins of the first pair of legs), are expanded/enlarged, and used for burrowing in sediment."
212,Large Tusks,Large Tusks for are located anterioly on the head. 
212,Pointed Hind Tibiae,Ventral apex of each hind tibia acutely pointed (i.e. the shins of the last pair of legs each have a point at the end).
215,Flat Head And Body,Head and body dorsoventrally flattened (flattend from top to bottom). 
215,Margin Around Eyes,Lateral margins of head visible beside the eyes.
222,Operculate Gill On 2,The gills on abdominal segment 2 are operculate or semioperculate. (i.e. the gills on this segment at least partially cover the gills on the preceeding segment). The gills are and roughly triangular or oval.
224,Double Lamellate Gills,"The gills on abdominal segments 2–7 are double-layered and lamellate (plate-like). The gills can be terminated in filaments or points and without fringe, or oval with fringe."
228,Foreleg Claws Bifid,Claw on each foreleg bifid.
228,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.
230,"Gills on 2-7 Forked, Long, Curving over Abdomen","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, curving over top of abdomen."
230,Legs Flattened or Tuberculate,Legs flattened or tuberculate.
230,Long Tusks Straight or Downcurved,Mandibles each with long tusk straight or downcurved.
230,​Hind Tibiae Rounded Apically,Hind tibiae rounded apically.
232,"Gills on 2-7 Forked, Long, Projecting Laterad","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, projecting laterad."
232,Legs Slender,Legs slender.
232,Long Tusks,Mandibles each with long tusk.
234,"3 ""Tails"" Subequal",Median caudal filament as long as cerci.
234,Distal Margin of Labrum Straight,"Distal margin of labrum straight, not notched."
234,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.
234,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. "
236,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
236,Flat Air Straps on Abdominal Apex,"Apex of abdomen with pair of short, flat, retractile air straps."
238,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
238,Scoop-like Front Tarsi,"Each front tarsus a single segment, scoop-like, fringed with stiff setae."
238,"Short, Triangular Beak","Beak triangular, very short, unsegmented."
240,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.
240,Antennae Longer than Head,"Antennae longer than head, visible from above."
240,Hind Femora Longer than Abdomen,Hind femora much longer than abdomen.
240,Middle Legs Closer to Hind Legs,Middle legs arising closer to hind legs than to front legs.
242,Eyes Contiguous With Head,Similar in appearence to Belostomatidae (giant water bugs) except that margins of eyes are contiguous with anterior margin of head in Naucoridae; i.e. the eyes are right against the edge of the head.
242,Raptorial Legs,"Forelegs are raptorial, suitable for use in predation, with broad femora, and weakly convex dorsally."
244,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
244,Long Breathing Tube on Abdominal Apex,Apex of abdomen with long cylindrical breathing tube that is not retractile.
246,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
246,Body Convex Dorsally,Body strongly convex dorsally.
246,"Long, Oar-like Hind Legs","Hind legs longer than others, oar-like, its claws inconspicuous."
246,Swimming Hairs on Legs,Middle and hind legs with fringes of swimming hairs.
248,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.
248,Antennae Longer Than Head,"The antennae are longer than the head. They are positioned anterior to the eyes, clearly visible from the dorsal side."
248,Hind Femora Short,"The hind femora are shorter than the abdomen, or just barely longer."
251,2 Setae in Front of Each Lateral Spiracle,Prothorax with 2 setae in front of each lateral spiracle.
251,Prolegs on 3-6 with Crochets,"Prolegs of abdominal sterna 3–6 with crochets (tiny hooks) arranged in an ellipse, or two transverse lines."
253,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
253,No Dorsal Premental Setae,Labial prementum without dorsal setae.
253,No Palpal Setae,Labial palps parallel-sided and usually without setae.
253,Prementum and Palps Flat,Labial prementum and palps flat beneath head.
253,"Slender, Bristle-like Antennae","Antennae slender, bristle-like."
255,1st Antennal Segment Long,"First antennal segment (segment nearest the head) long, subequal to length of rest of antenna."
255,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
257,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
257,Antennal Segment 1 Short,Antennal segment 1 much shorter than the rest of the antenna.
257,Mask without Cleft,Ligula (distal part of palm of mask) usually without median cleft. The mask is roughly triangular or square (not stalked as in Lestidae).
261,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
261,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it."
261,Margins of Labial Palps Toothed,"Labial palps with distal margins deeply incised into large, irregular teeth."
261,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).
261,Prementum and Palps Spoon-like,Labial prementum and palps spoon-like.
263,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
263,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it."
263,Median Groove,"Ventrally, there is a median groove extending from the basal hinge of the mask to about 1/3 to 1/2 way to the distal margin of mask. It is often faint."
263,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).
263,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
265,4-Segmented Antennae,"The antennae are each 4-segmented, although the 4th segment is often small."
265,Flat Mask,Labial mask flattened. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
268,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
268,Base of Prementum Long and Slender,"Base of labial prementum long, slender."
270,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
270,Median Groove Absent,"Unlike in Corduliidae, the prementum (basal hinge of the mask) is usually without a ventral basal medial groove."
270,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
277,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
277,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
277,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. "
277,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
277,Small Postmentum,"Postmentum small, not covering bases of maxillae."
279,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
279,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
279,Hind Legs Reach,"When extended, hind legs reach about to the end of the abdomen."
279,Short Cerci,Cerci no more than 3/4 as long as abdomen.
279,Thoracic Terga Plain,"Thoracic terga (segments) without a dark pattern, setting this family apart from the often more patterned stonefly nymphs in the families Perlidae and Perlodidae."
281,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
281,Large Postmentum," Postmentum large, covering bases of maxillae"
281,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. "
281,Parallel Hind Wing Pads,"Hind wing pads more or less parallel with body axis, and typically longer than wide."
283,Divergent Hind Wing Pads ,Hind wing pads (2nd pair of wing pads) conspicuously divergent from body axis
283,Hind Legs Reach,"When extended, hind legs reach about to the end of the abdomen."
283,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
285,Conical Thoracic Gills,Thoracic gills conical in shape and occur singly or doubly. 
285,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
285,Roach-like Body,"Mayfly nymphs of this family have a broad, roach-like body."
285,Thoracic Sterna Overlapping,"Thoracic sterna produced posteriorly, each overlapping succeeding segment."
287,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
287,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
287,Tails Subequal To Abdomen,Cerci (tails) are about the same length as the abdomen.
292,Gill Tufts on Thorax and Abdomen,Tufts of filamentous gills on thorax and first two abdominal segments.
292,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
300,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
300,Metanotum mostly membranous,"The metanotum of larvae in this family usually has 2–3 pairs of small sclerites, but is mostly membranous."
300,Setose metanotum,More than 25 setae are distributed transversely in the anteromesal region of the metanotum.
300,Smooth mandibular margins,"Mandibles with inner margins usually smooth, without teeth."
300,​Antenna Midway Between Eye and Mandible,Larvae have tiny antennae each midway between an eye and its corresponding mandible.
300,​Hooded sand case,"Portable sand case of sand and papoose-like, extended over larval head."
302,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
302,Metanotum mostly membranous,"The metanotum of larvae in this family usually has 2 pairs of small sclerites posteromesally and laterally, but is mostly membranous."
302,​Humpless abdominal segment I,First abdominal segment lacking membranous lateral humps (can be expanded or collapsed).
302,​Transversely arranged plant-material case,"Portable case of slender plant materials arranged transversely.  The plant materials can be either wrapped around the insect to form a tapered cylinder, or they can be organized to make a four-sided log-cabin tube."
305,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
305,​Dead leaf or hollowed-twig case,"The larvae of this family create a portable case either made with two dead leaves on top of one another, or out of a hollowed stick or other piece of wood."
305,​Metanotum mostly membranous,"The metanotum has 1 pair of small lateral sclerites, but is mostly membranous."
305,​Setae on labrum,"The labrum of this family has a transverse row of 16 setae across the middle, giving these caddisflies a mustached appearance."
306,Branching Retreat,"Larvae make branching tube-like retreats buried in sand or soft sediment, except tips of branches sticking above sediment. You can find these by using a seave in soft sandy sediment, look for branching sandy tubes, often with a bulbus end on one of the branches, carfully pull it apart to find the larva."
306,Hump Between Nota,The Meso- and metanota (2nd and 3rd dorsal thorasic segments) are membranous (not hardened) with a large hump between them. 
306,Large Spinneret,"Large spinneret, half as long as head. This is a needle-like structure near the mouth, where the silk is extruded."
306,Tarsi Flattened ,Tarsi (toes- distal most leg region) flattened and tibiae (shins) shorter than tarsi
308,Membranous mesonotum,The mesonotum is entirely or mostly membranous in larvae of this family.
308,Membranous metanotum,The metanotum is entirely or mostly membranous in larvae of this family.
308,Metanotum with 3 pairs of setae,Larvae in this family have 3 pairs of setae (hairs) on their metanotum.
308,​Abdominal Segment IX with Small Sclerite,The top of the last abdominal segment (segment IX) has one small sclerite. 
308,​Dome-like case,"Portable case of small rocks, dome-like, with transverse ventral strap of fine sand."
308,​Mesonotum with 3 pairs of setae,Larvae in this family have 3 pairs of setae (hairs) on their mesonotum.
310,Mesonotum sclerotized,The mesonotum of larvae from this family is covered with 2 pairs of sclerites and has an additional pair of thick lateral sclerites projecting anterad (toward the head of the caddisfly) beside the pronotum.
310,Metanotum Mostly Membranous,"The metanotum has 1 pair of small lateral sclerites, but is mostly membranous."
310,​Antenna Midway Between Eye and Mandible,Larvae have tiny antennae each midway between an eye and its corresponding mandible.
310,​Tubular Case with Large Ballast Stones,"Tubular portable case made of stones with two pairs of larger, nearly symmetrical lateral “ballast” stones."
312,Snail shell-like case,The portable case of sand grains Helicopsychid larvae construct resembles a snail shell.
314,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
314,Pronotum Sclerotized,A pair of sclerites completely covers the pronotum of larvae in this family.
314,Short Overall Length,Caddisflies of this family are very small - the larvae are less than ½ inch (6 mm) long.
314,​Flattened Case,"Larvae of this family construct a portable or stationary case of plant or mineral material and it is usually either compressed (flattened from sides) or depressed (flattened from top and bottom), giving it a purse-like appearance, rarely tubular."
314,​Metanotum Sclerotized,A pair of sclerites completely covers the metanotum of larvae in this family.
314,​No Ventral Abdominal Gills,Larvae of this family lack gills on the underside of their abdomens.
314,​Tiny Anal Claws,Anal prolegs usually not projecting and anal claws tiny.
316,Antenna Next To Eye,The antenna are small and are always situated directly next to the eye. This is the only caddisfly family with antenna in this location.
318,"""Long"" Antenna","This is the only caddisfly family where the larvae usually have “long” antenna. By long antenna we mean that they aren’t tiny little nubs we usually see on caddisflies, but more like short threads, easily visible in profile."
323,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
323,"Tubular, Flanged Sand Case",Larvae of this family make a portable case of sand that is tubular but appears very flat with wide lateral flanges and anterodorsal cowel over larval head.  
323,​Metanotum Mostly Membranous,"The metanotum has 0-1 pairs of small lateral sclerites, but is mostly membranous."
323,​Small Hind Leg Claws,Claws of hind legs much smaller than those of front and middle legs.
325,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
325,Sturdy Sand Case,Larvae of this family make a sturdy portable case of coarse sand cemented with mortar-like bands of silk.
325,​Metanotum Usually with 4 Sclerites,"Larvae of Odontoceridae usually have one broad transverse anterior sclerite, one narrow transverse posterior sclerite, and one pair of lateral sclerites on the metanotum.  Rarely, the metanotum will have 3 pairs of small sclerites."
325,​Pronotum with Pointed Anterolateral Corners,"The pronotum of larvae in this family usually has strongly pointed anterolateral corners, giving larvae the appearance of having sharp shoulder pads."
327,T-Shaped Labrum,Labrum (upper lip) membranous and T-shaped. If you don't see the labrum it's becuase in preserved specimens it’s often sucked into mouth and hidden from view. All other families have a sclerotized easily visible labrum.
330,Membranous mesonotum,The mesonotum is entirely or mostly membranous in larvae of this family.
330,Membranous metanotum,The metanotum is entirely or mostly membranous in larvae of this family.
330,Setose Lateral Sclerites on Meso- and Metanota,Larvae in this family have on their mesonotum and metanotum a pair of lateral sclerites with many setae.
330,​Abdominal Segment IX with Small Sclerite,The top of the last abdominal segment (segment IX) has one small sclerite. 
330,​Mesonotum with 2 Pairs of Setae,Caddisfly larvae in this family have on their mesonotum 2 pairs of dorsomesal setae (hairs).
330,​Metanotum with 2 Pairs of Setae,Larvae in this family have on their metanotum 2 pairs of dorsomesal setae (hairs).
330,​Spiraling or Ringed Plant Case,Larvae of this family make a portable case of plant materials arranged in a spiral or in successive rings.
330,​Stiff Prosternal Horn,Stiff prosternal horn present between front legs.
332,Abdominal Segment IX Membranous,Top of last abdominal segment (segment IX) membranous.
332,Membranous Mesonotum,The mesonotum is membranous in larvae of this family.
332,Membranous Metanotum,The metanotum is membranous in larvae of this family.
332,Mesonotum with 3 Pairs of Setae,"Larvae in this family have 3 pairs of setae (hairs) on their mesonotum, with the posteromesal and/or lateral pair sometimes doubled. "
332,Metanotum with 3 Pairs of Setae,"Larvae in this family have 3 pairs of setae (hairs) on their mesonotum, with the posteromesal and/or lateral pair sometimes doubled. "
332,"​Long, Free Anal Prolegs",The anal prolegs of this family are long and freely movable.
335,Hatchet-shaped Foretrochantin,"The foretrochantin is a projecting sclerite (hard plate) at the base of each foreleg. This is the only family where the foretrochantin is hatched-shaped. Look from the ventral side, you may see the shape more clearly if the specimen is a bit tilted."
338,Anal Prolegs Free,"Anal prolegs (fleshy nubs at the end of th body with hooks on them) are free, not closely fused to the abdomen."
338,Free-living,Larvae are free-living (do not build a case or retreat) until pupation.
338,Meso- And Metanota Membranous.,"Meso- and metanota membranous. I.e. Dorsally, only the first thorasic segment is sclerotized (hardened), the rest of the thorax is membranous."
338,Sclerite On Segment IX,"The dorsal side of abdominal segment 9 has a sclerite (hardened plate or patch). Segment 9 is the last abdominal segment, at the end of the body."
340,"Curved, Smooth Sand Case","Larvae of this family create a portable case that is smooth, slightly curved, and made of fine sand."
340,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
340,Metanotum Mostly Membranous,"Metanotum with 3 pairs of small sclerites, but mostly membranous."
340,​Pronotum with Pointed Anterolateral Corners,"The pronotum of larvae in this family usually has strongly pointed anterolateral corners, giving larvae the appearance of having sharp shoulder pads."
340,​Setose Anal Prolegs,Each anal proleg has a mesodorsal cluster of at least 30 setae.
342,Notched Mesonotum,Mesonotum notched medially along the anterior margin. I.e. the middle thoracic segment has 2 small incisions along the edge nearest the head.
342,Only Metanotum Membranous,"Pro- and mesonota are sclerotized, but the metanotum mostly membranous, with some small sclerites (i.e. the dorsal sides of the 1st two thoracic segments are hardened, but the 3rd is membranous)."
728,5-Segmented Swimming Legs,"Long, slender swimming legs 5-segmented, excluding 2 claws. "
728,8-Segmented Abdomen,Abdomen with 8 segments.
728,Sickle-Shaped Mandibles,Sickle-shaped mandibles without mola (grinding surface). 
732,"Brown, Sclerotized, Spindle-Shaped Body","Body strongly sclerotized (hardened), dark brown or red-brown, roughly cylindrical or spindle-shaped,"
732,Operculum,Segment 9 (posterior-most segment) with ventral lid-like flap (operculum) concealing thread-like gills and pair of hooks
739,4 Posterior Hooks,Abdominal segment 10 (posterior-most segment) with 4 stout hooks.
739,5-Segmented Legs + Claws,Legs 5-segmented plus 2 tarsal claws. 
739,Lateral Gills ,Abdominal segments 1–9 with lateral gills. 
743,5-Segmented Legs + Claw,Legs 5-segmented and each with single claw. 
743,Dorsal Projections,"Mature larvae usually with long, slender, stiff, needle-like dorsal projections from thoracic and abdominal segments"
747,Flat Body,"The body is dorsoventrally flattened (flat like a hamburger, not like a taco). "
