22,1,Visible Trochantins,"Trochantins visible, unlike Elmidae. This is a small sclerite near where the leg connects with the body."
23,7,Coxal Plate Not Wedge-like,Broad wedge-like hind coxal plate absent. 
24,7,Extended Hind Coxae,"Hind coxae (basal most leg segment) each with median portion extending in posterior direction, dividing abdominal segment 1 into lateral sclerites, but not expanding into broad plates (see <a href=""http://macroinvertebrates.org/taxa-characters/coleoptera-adult/haliplidae/peltodytes/ventral/dc954"">Halipidae</a> for example of broad plates). "
25,7,Large Spurs Absent,Without large spur on end of each front tibia (shin). 
26,7,Scutellum Usually Visible,"Scutellum (triangular sclerite between the elytra) usually visible, if hidden, then front and middle tarsi apparently 4-segmented and hind tarsi each with 1 claw."
27,8,5-Segmented Tarsi,Each leg with 5 tarsal segments.
28,8,Big Claws,Big Claws
29,8,Last Tarsal Segment Subequal,Last tarsal segment about as long as other segments 
30,8,Thread-like Antennae,"Antennae slender, thread-like"
31,9,4 Eyes," Compound eyes divided into separate dorsal and ventral portions ( ""4-eyed"" appearance)."
32,10,Expanded Hind Coxae,"Each hind coxa (first segment of the last leg) expanded into a broad, flat, plate, ventrally covering the first 2 or 3 abdominal segments and most of hind femora."
33,11,5 Segments Before Cupule,"Antenna ually with 5 segments before cupule (cup-shaped, hairless, segment 6)"
34,11,Antenna Subequal To Head,Antennae about as long head
35,11,Antennal Segment Articulation,2nd antennal segment attached at apex of 1st (basal-most) segment 
36,11,Clubbed Antennae,Antennal segments 7–9 clubbed.
37,11,Long Maxillary Palpi,Maxillary palpi usually longer than antennae. 
38,14,Base of Mandibles with Bristles,Pair of brushes of bristles above bases of mandibles.
39,14,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.
40,14,Pair of Long Tubercles Fringed with Hair,Last abdominal segment with pair of long tubercles fringed with hair.
41,14,Prolegs Present Ventrally from segments 1-8,A pair of prolegs present on abdominal segments 1-8
42,14,Slender Tubercles on 2-7,"Abdominal segments 2–7 each with two pairs of slender tubercles laterally and dorsally, 1 pair of spiny prolegs ventrally."
43,15,Head Capsule Complete but Not Distinct,Head capsule complete but not distinctly separated from thorax.
44,15,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
45,15,Suction Cup on Each Body Division,"Body divided into 6 major divisions, each with single suction cup ventrally."
46,16,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
47,16,With Or Without Prolegs,"Prolegs (fleshy nubs) can be present or absent on the prothorax (1st thoracic segment). Like in the specimen imaged here (<em>Probezzia</em>), if prolegs are absent the body is usually smooth, shiny, and cream colored, usually without any surface features except a few hairs especially posteriorly, and sometimes a single retractile anal proleg bearing a few hooks. Alternatively, if there is a pair of ventral prolegs on the prothorax, then the prothoracic and anal prolegs are usually paired (even if divison slight and only at apex) and there are distinct dorsal fleshy projections and/or setae along body."
48,17,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
49,17,Thoracic And Anal Prolegs,"Paired hook-bearing prolegs (fleshy nubs used for movement) are present on the prothorax and at the posterior end of the body. At first glance these may appear as a single proleg, but they are paired, the division may be slight and only at the apex of the proleg."
50,18,Fused Thoracic Segments,"Thoracic segments fused, nearly indistinguishable, wider than head and abdomen."
51,18,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
52,18,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
53,18,Slender Antennae with Short Setae,Antennae slender with short setae.
54,19,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen."
55,19,Flat Lobes Fringed with Hair on Last Segment,Last abdominal segment with pair of flat lobes fringed with hair.
56,19,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
57,19,Hook-bearing Prolegs on 1-2,First and (usually) second abdominal segments each with pair of hook-bearing prolegs.
58,19,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
59,20,1-4 Rounded Lobes on End of Abdomen,End of abdomen with 1–4 rounded lobes with apical setae.
60,20,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.
61,20,Head Capsule Not Sclerotized and Exposed,"Head capsule exposed, mostly not sclerotized, reduced to slender rods that are prominent internally."
62,20,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
63,20,Spiracles Absent,Spiracles usually absent.
64,21,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.
65,21,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. "
66,21,Respiratory Tube,
67,22,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. "
68,22,Posterior Spiracles with Lobes,The posterior spiracles are rimmed by 2–7 (usually 5) lobes often fringed with hair.
69,23,Head Not Externally Sclerotized,Head capsule not sclerotized externally.
70,23,"Last Segment Blunt, Smooth","Last abdominal segment blunt, smooth."
71,23,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
72,23,Posterior Spiracles each with 3 Slits,Pair of posterior spiracles each with 3 sinuous slits.
73,24,Head Capsule Sclerotized and Mostly Retracted,Head capsule sclerotized and mostly retracted in membranous body.
74,24,Long Ventral Lobes on Abdominal Apex,End of abdomen with pair of spiracles and pair of long ventral lobes.
75,24,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
76,25,Body Segments Subdivided,All body segments secondarily divided into 2–3 subdivisions most of which bear dorsal sclerotized plates.
77,25,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen."
78,25,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
79,25,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
80,26,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed."
81,26,Hooked Prolegs on 1-3,"First 3 abdominal segments each with ventral pair of prolegs, each with single apical hook."
82,26,Long Respiratory Siphon,End of abdomen with long retractile respiratory siphon.
83,26,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
84,27,Abdomen Swollen Posteriorly,"Abdominal segments 5–8 are swollen, appearing ballooned or bowling-pin-like. Often these balooned posterior ends are attached to the substrate. "
85,27,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.
86,27,Labral Fans,Head capsule usually with pair of conspicuous fans.
87,28,Body Flattened,Body somewhat depressed.
88,28,Head Capsule Sclerotized and Mostly Exposed,"Head capsule sclerotized and mostly exposed, incapable of independent movement."
89,28,Leathery Integument,"Integument tough, leathery, with calcium deposits evident as small facets."
90,28,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.
91,29,Head Not Externally Sclerotized,Head capsule not sclerotized externally.
92,29,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.
93,29,Posterior Spiracles Fused,"Posterior spiracles fused or abutting, usually on apex of retractile respiratory tube."
94,30,Head Capsule Sclerotized and Mostly Retracted,"Head capsule sclerotized and mostly retracted in membranous body, usually with longitudinal incisions posteriorly or reduced to long rods."
95,30,Lobed Posterior Spiracles with Hair,Posterior pair of spiracles bordered by at least 6 lobes fringed with hair.
96,30,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.
97,31,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.
98,31,Pectinate Spines On Maxillae, Maxillae (second pair of jaws) each with row of conspicuous pectinate (comb-like) spines. 
99,31,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. "
100,32,Long Antenna,"The antennae are usually long, two or three times or more width of the head"
101,32,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.
102,33,Shield-like Pronotum,Pronotum forming large shield over rest of thorax and 5 basal segments of abdomen.
103,34,Square Semioperculate Gills,"Paired gills on abdominal segment 2 are nearly square, and meeting or almost meeting medially (but NOT fused). These gills on segment 2 are at least partially covering the succeeding pairs (semioperculate)."
104,35,Segment 2 Without Gills,This is the only mayfly family with gills absent on abdominal segment 2.
105,36,Fluffy Abdominal Gills," Abdominal gills on segments 2–7 are conspicuous dorsaly, forked and elongate-lancolate, with fringed margins, giving the animal a fluffy appearance."
106,36,Fossorial Foretibiae ,"The Foretibiae (the shins of the first pair of legs), are expanded/enlarged, and used for burrowing in sediment."
107,36,Large Tusks,Large Tusks for are located anterioly on the head. 
108,36,Pointed Hind Tibiae,Ventral apex of each hind tibia acutely pointed (i.e. the shins of the last pair of legs each have a point at the end).
109,37,Flat Head And Body,Head and body dorsoventrally flattened (flattend from top to bottom). 
110,37,Margin Around Eyes,Lateral margins of head visible beside the eyes.
111,39,Operculate Gill On 2,The gills on abdominal segment 2 are operculate or semioperculate. (i.e. the gills on this segment at least partially cover the gills on the preceeding segment). The gills are and roughly triangular or oval.
112,40,Double Lamellate Gills,"The gills on abdominal segments 2–7 are double-layered and lamellate (plate-like). The gills can be terminated in filaments or points and without fringe, or oval with fringe."
113,41,Foreleg Claws Bifid,Claw on each foreleg bifid.
114,41,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.
115,42,"Gills on 2-7 Forked, Long, Curving over Abdomen","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, curving over top of abdomen."
116,42,Legs Flattened or Tuberculate,Legs flattened or tuberculate.
117,42,Long Tusks Straight or Downcurved,Mandibles each with long tusk straight or downcurved.
118,42,​Hind Tibiae Rounded Apically,Hind tibiae rounded apically.
119,43,"Gills on 2-7 Forked, Long, Projecting Laterad","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, projecting laterad."
120,43,Legs Slender,Legs slender.
121,43,Long Tusks,Mandibles each with long tusk.
122,44,"3 ""Tails"" Subequal",Median caudal filament as long as cerci.
123,44,Distal Margin of Labrum Straight,"Distal margin of labrum straight, not notched."
124,44,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.
125,44,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. "
126,45,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
127,45,Flat Air Straps on Abdominal Apex,"Apex of abdomen with pair of short, flat, retractile air straps."
128,46,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
129,46,Scoop-like Front Tarsi,"Each front tarsus a single segment, scoop-like, fringed with stiff setae."
130,46,"Short, Triangular Beak","Beak triangular, very short, unsegmented."
131,47,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.
132,47,Antennae Longer than Head,"Antennae longer than head, visible from above."
133,47,Hind Femora Longer than Abdomen,Hind femora much longer than abdomen.
134,47,Middle Legs Closer to Hind Legs,Middle legs arising closer to hind legs than to front legs.
135,48,Eyes Contiguous With Head,Similar in appearence to Belostomatidae (giant water bugs) except that margins of eyes are contiguous with anterior margin of head in Naucoridae; i.e. the eyes are right against the edge of the head.
136,48,Raptorial Legs,"Forelegs are raptorial, suitable for use in predation, with broad femora, and weakly convex dorsally."
137,49,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
138,49,Long Breathing Tube on Abdominal Apex,Apex of abdomen with long cylindrical breathing tube that is not retractile.
139,50,Antennae Shorter than Head,"Antennae shorter than head, not visible from above."
140,50,Body Convex Dorsally,Body strongly convex dorsally.
141,50,"Long, Oar-like Hind Legs","Hind legs longer than others, oar-like, its claws inconspicuous."
142,50,Swimming Hairs on Legs,Middle and hind legs with fringes of swimming hairs.
143,51,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.
144,51,Antennae Longer Than Head,"The antennae are longer than the head. They are positioned anterior to the eyes, clearly visible from the dorsal side."
145,51,Hind Femora Short,"The hind femora are shorter than the abdomen, or just barely longer."
146,52,2 Setae in Front of Each Lateral Spiracle,Prothorax with 2 setae in front of each lateral spiracle.
147,52,Prolegs on 3-6 with Crochets,"Prolegs of abdominal sterna 3–6 with crochets (tiny hooks) arranged in an ellipse, or two transverse lines."
148,55,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
149,55,No Dorsal Premental Setae,Labial prementum without dorsal setae.
150,55,No Palpal Setae,Labial palps parallel-sided and usually without setae.
151,55,Prementum and Palps Flat,Labial prementum and palps flat beneath head.
152,55,"Slender, Bristle-like Antennae","Antennae slender, bristle-like."
153,56,1st Antennal Segment Long,"First antennal segment (segment nearest the head) long, subequal to length of rest of antenna."
154,56,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
155,57,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
156,57,Antennal Segment 1 Short,Antennal segment 1 much shorter than the rest of the antenna.
157,57,Mask without Cleft,Ligula (distal part of palm of mask) usually without median cleft. The mask is roughly triangular or square (not stalked as in Lestidae).
158,58,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
159,58,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it."
160,58,Margins of Labial Palps Toothed,"Labial palps with distal margins deeply incised into large, irregular teeth."
161,58,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).
162,58,Prementum and Palps Spoon-like,Labial prementum and palps spoon-like.
163,59,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
164,59,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it."
165,59,Median Groove,"Ventrally, there is a median groove extending from the basal hinge of the mask to about 1/3 to 1/2 way to the distal margin of mask. It is often faint."
166,59,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).
167,59,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
168,60,4-Segmented Antennae,"The antennae are each 4-segmented, although the 4th segment is often small."
169,60,Flat Mask,Labial mask flattened. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
170,61,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills."
171,61,Base of Prementum Long and Slender,"Base of labial prementum long, slender."
172,62,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages."
173,62,Median Groove Absent,"Unlike in Corduliidae, the prementum (basal hinge of the mask) is usually without a ventral basal medial groove."
174,62,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.
175,63,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
176,63,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
177,63,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. "
178,63,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
179,63,Small Postmentum,"Postmentum small, not covering bases of maxillae."
180,64,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
181,64,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
182,64,Hind Legs Reach,"When extended, hind legs reach about to the end of the abdomen."
183,64,Short Cerci,Cerci no more than 3/4 as long as abdomen.
184,64,Thoracic Terga Plain,"Thoracic terga (segments) without a dark pattern, setting this family apart from the often more patterned stonefly nymphs in the families Perlidae and Perlodidae."
185,65,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen."
186,65,Large Postmentum," Postmentum large, covering bases of maxillae"
187,65,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. "
188,65,Parallel Hind Wing Pads,"Hind wing pads more or less parallel with body axis, and typically longer than wide."
189,66,Divergent Hind Wing Pads ,Hind wing pads (2nd pair of wing pads) conspicuously divergent from body axis
190,66,Hind Legs Reach,"When extended, hind legs reach about to the end of the abdomen."
191,66,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
192,67,Conical Thoracic Gills,Thoracic gills conical in shape and occur singly or doubly. 
193,67,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
194,67,Roach-like Body,"Mayfly nymphs of this family have a broad, roach-like body."
195,67,Thoracic Sterna Overlapping,"Thoracic sterna produced posteriorly, each overlapping succeeding segment."
196,69,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.
197,69,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. 
198,69,Tails Subequal To Abdomen,Cerci (tails) are about the same length as the abdomen.
199,70,Gill Tufts on Thorax and Abdomen,Tufts of filamentous gills on thorax and first two abdominal segments.
200,70,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding."
201,72,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
202,72,Metanotum mostly membranous,"The metanotum of larvae in this family usually has 2–3 pairs of small sclerites, but is mostly membranous."
203,72,Setose metanotum,More than 25 setae are distributed transversely in the anteromesal region of the metanotum.
204,72,Smooth mandibular margins,"Mandibles with inner margins usually smooth, without teeth."
205,72,​Antenna Midway Between Eye and Mandible,Larvae have tiny antennae each midway between an eye and its corresponding mandible.
206,72,​Hooded sand case,"Portable sand case of sand and papoose-like, extended over larval head."
207,73,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
208,73,Metanotum mostly membranous,"The metanotum of larvae in this family usually has 2 pairs of small sclerites posteromesally and laterally, but is mostly membranous."
209,73,​Humpless abdominal segment I,First abdominal segment lacking membranous lateral humps (can be expanded or collapsed).
210,73,​Transversely arranged plant-material case,"Portable case of slender plant materials arranged transversely.  The plant materials can be either wrapped around the insect to form a tapered cylinder, or they can be organized to make a four-sided log-cabin tube."
211,74,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
212,74,​Dead leaf or hollowed-twig case,"The larvae of this family create a portable case either made with two dead leaves on top of one another, or out of a hollowed stick or other piece of wood."
213,74,​Metanotum mostly membranous,"The metanotum has 1 pair of small lateral sclerites, but is mostly membranous."
214,74,​Setae on labrum,"The labrum of this family has a transverse row of 16 setae across the middle, giving these caddisflies a mustached appearance."
215,75,Branching Retreat,"Larvae make branching tube-like retreats buried in sand or soft sediment, except tips of branches sticking above sediment. You can find these by using a seave in soft sandy sediment, look for branching sandy tubes, often with a bulbus end on one of the branches, carfully pull it apart to find the larva."
216,75,Hump Between Nota,The Meso- and metanota (2nd and 3rd dorsal thorasic segments) are membranous (not hardened) with a large hump between them. 
217,75,Large Spinneret,"Large spinneret, half as long as head. This is a needle-like structure near the mouth, where the silk is extruded."
218,75,Tarsi Flattened ,Tarsi (toes- distal most leg region) flattened and tibiae (shins) shorter than tarsi
219,76,Membranous mesonotum,The mesonotum is entirely or mostly membranous in larvae of this family.
220,76,Membranous metanotum,The metanotum is entirely or mostly membranous in larvae of this family.
221,76,Metanotum with 3 pairs of setae,Larvae in this family have 3 pairs of setae (hairs) on their metanotum.
222,76,​Abdominal Segment IX with Small Sclerite,The top of the last abdominal segment (segment IX) has one small sclerite. 
223,76,​Dome-like case,"Portable case of small rocks, dome-like, with transverse ventral strap of fine sand."
224,76,​Mesonotum with 3 pairs of setae,Larvae in this family have 3 pairs of setae (hairs) on their mesonotum.
225,77,Mesonotum sclerotized,The mesonotum of larvae from this family is covered with 2 pairs of sclerites and has an additional pair of thick lateral sclerites projecting anterad (toward the head of the caddisfly) beside the pronotum.
226,77,Metanotum Mostly Membranous,"The metanotum has 1 pair of small lateral sclerites, but is mostly membranous."
227,77,​Antenna Midway Between Eye and Mandible,Larvae have tiny antennae each midway between an eye and its corresponding mandible.
228,77,​Tubular Case with Large Ballast Stones,"Tubular portable case made of stones with two pairs of larger, nearly symmetrical lateral “ballast” stones."
229,78,Snail shell-like case,The portable case of sand grains Helicopsychid larvae construct resembles a snail shell.
230,80,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
231,80,Pronotum Sclerotized,A pair of sclerites completely covers the pronotum of larvae in this family.
232,80,Short Overall Length,Caddisflies of this family are very small - the larvae are less than ½ inch (6 mm) long.
233,80,​Flattened Case,"Larvae of this family construct a portable or stationary case of plant or mineral material and it is usually either compressed (flattened from sides) or depressed (flattened from top and bottom), giving it a purse-like appearance, rarely tubular."
234,80,​Metanotum Sclerotized,A pair of sclerites completely covers the metanotum of larvae in this family.
235,80,​No Ventral Abdominal Gills,Larvae of this family lack gills on the underside of their abdomens.
236,80,​Tiny Anal Claws,Anal prolegs usually not projecting and anal claws tiny.
237,81,Antenna Next To Eye,The antenna are small and are always situated directly next to the eye. This is the only caddisfly family with antenna in this location.
238,82,"""Long"" Antenna","This is the only caddisfly family where the larvae usually have “long” antenna. By long antenna we mean that they aren’t tiny little nubs we usually see on caddisflies, but more like short threads, easily visible in profile."
239,84,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
240,84,"Tubular, Flanged Sand Case",Larvae of this family make a portable case of sand that is tubular but appears very flat with wide lateral flanges and anterodorsal cowel over larval head.  
241,84,​Metanotum Mostly Membranous,"The metanotum has 0-1 pairs of small lateral sclerites, but is mostly membranous."
242,84,​Small Hind Leg Claws,Claws of hind legs much smaller than those of front and middle legs.
243,85,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
244,85,Sturdy Sand Case,Larvae of this family make a sturdy portable case of coarse sand cemented with mortar-like bands of silk.
245,85,​Metanotum Usually with 4 Sclerites,"Larvae of Odontoceridae usually have one broad transverse anterior sclerite, one narrow transverse posterior sclerite, and one pair of lateral sclerites on the metanotum.  Rarely, the metanotum will have 3 pairs of small sclerites."
246,85,​Pronotum with Pointed Anterolateral Corners,"The pronotum of larvae in this family usually has strongly pointed anterolateral corners, giving larvae the appearance of having sharp shoulder pads."
247,86,T-Shaped Labrum,Labrum (upper lip) membranous and T-shaped. If you don't see the labrum it's becuase in preserved specimens it’s often sucked into mouth and hidden from view. All other families have a sclerotized easily visible labrum.
248,87,Membranous mesonotum,The mesonotum is entirely or mostly membranous in larvae of this family.
249,87,Membranous metanotum,The metanotum is entirely or mostly membranous in larvae of this family.
250,87,Setose Lateral Sclerites on Meso- and Metanota,Larvae in this family have on their mesonotum and metanotum a pair of lateral sclerites with many setae.
251,87,​Abdominal Segment IX with Small Sclerite,The top of the last abdominal segment (segment IX) has one small sclerite. 
252,87,​Mesonotum with 2 Pairs of Setae,Caddisfly larvae in this family have on their mesonotum 2 pairs of dorsomesal setae (hairs).
253,87,​Metanotum with 2 Pairs of Setae,Larvae in this family have on their metanotum 2 pairs of dorsomesal setae (hairs).
254,87,​Spiraling or Ringed Plant Case,Larvae of this family make a portable case of plant materials arranged in a spiral or in successive rings.
255,87,​Stiff Prosternal Horn,Stiff prosternal horn present between front legs.
256,88,Abdominal Segment IX Membranous,Top of last abdominal segment (segment IX) membranous.
257,88,Membranous Mesonotum,The mesonotum is membranous in larvae of this family.
258,88,Membranous Metanotum,The metanotum is membranous in larvae of this family.
259,88,Mesonotum with 3 Pairs of Setae,"Larvae in this family have 3 pairs of setae (hairs) on their mesonotum, with the posteromesal and/or lateral pair sometimes doubled. "
260,88,Metanotum with 3 Pairs of Setae,"Larvae in this family have 3 pairs of setae (hairs) on their mesonotum, with the posteromesal and/or lateral pair sometimes doubled. "
261,88,"​Long, Free Anal Prolegs",The anal prolegs of this family are long and freely movable.
262,89,Hatchet-shaped Foretrochantin,"The foretrochantin is a projecting sclerite (hard plate) at the base of each foreleg. This is the only family where the foretrochantin is hatched-shaped. Look from the ventral side, you may see the shape more clearly if the specimen is a bit tilted."
263,90,Anal Prolegs Free,"Anal prolegs (fleshy nubs at the end of th body with hooks on them) are free, not closely fused to the abdomen."
264,90,Free-living,Larvae are free-living (do not build a case or retreat) until pupation.
265,90,Meso- And Metanota Membranous.,"Meso- and metanota membranous. I.e. Dorsally, only the first thorasic segment is sclerotized (hardened), the rest of the thorax is membranous."
266,90,Sclerite On Segment IX,"The dorsal side of abdominal segment 9 has a sclerite (hardened plate or patch). Segment 9 is the last abdominal segment, at the end of the body."
267,91,"Curved, Smooth Sand Case","Larvae of this family create a portable case that is smooth, slightly curved, and made of fine sand."
268,91,Mesonotum sclerotized,The mesonotum of larvae in this family is covered with a pair of sclerites.
269,91,Metanotum Mostly Membranous,"Metanotum with 3 pairs of small sclerites, but mostly membranous."
270,91,​Pronotum with Pointed Anterolateral Corners,"The pronotum of larvae in this family usually has strongly pointed anterolateral corners, giving larvae the appearance of having sharp shoulder pads."
271,91,​Setose Anal Prolegs,Each anal proleg has a mesodorsal cluster of at least 30 setae.
272,92,Notched Mesonotum,Mesonotum notched medially along the anterior margin. I.e. the middle thoracic segment has 2 small incisions along the edge nearest the head.
